Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,Notes,
PaidSocial_Mar2021_Placeholder 11,00568FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654219,Vanessa Split Screen,LIVE
PaidSocial_Mar2021_Placeholder 12,00569FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654222,Nat UGC Additives,LIVE
PaidSocial_Apr2021_Placeholder 1,00600FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687139,,
PaidSocial_Apr2021_Placeholder 2,00601FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687146,,
PaidSocial_Apr2021_Placeholder 3,00602FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687149,,
PaidSocial_Apr2021_Placeholder 4,00603FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687152,,
PaidSocial_Apr2021_Placeholder 5,00604FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687155,,
PaidSocial_Apr2021_Placeholder 6,00605FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687160,,
PaidSocial_Apr2021_Placeholder 7,00606FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687163,,
PaidSocial_Apr2021_Placeholder 8,00607FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687167,,
PaidSocial_Apr2021_Placeholder 9,00608FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687192,,
PaidSocial_Apr2021_Placeholder 10,00609FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687197,,
PaidSocial_Apr2021_Placeholder 11,00610FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687200,,
PaidSocial_Apr2021_Placeholder 12,00611FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6687203,,
M015ga-e:2799162 - Wine Club - Exact,62600GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689219,,
D0226ga:6065819 - High Volume - Broad - Wine Club/Subscription,62601GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689223,,
D015ga-m:2799126 - Wine Club - Mod,62602GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689228,,
D016ga-m:2799128 - Wine Club Varietals - Mod,62603GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689231,,
D0055ga:4035917 - Wine Competition - Mod,62604GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689232,,
D0082ga:4314933 - Wine For Beginners - Mod,62605GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689235,,
D0084ga:4314951 - Wine Case (eCommerce) - Exact,62606GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689237,,
D010ga-e:2799116 - Locations - Exact,62607GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689244,,
D0019ga:3568515 - Popular Wine Bottles (eCommerce) - Exact,62608GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689249,,
D009ga-b:2799112 - High Volume - Broad,62609GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689258,,
D017ga-m:2799130 - Wine Delivery - Mod,62610GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689269,,
D002ga-m:2799102 - Brand - Winc - Mod,62611GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689274,,
D016ga-e:2799127 - Wine Club Varietals - Exact,62612GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689282,,
D0015ga:3490261 - Wine Varietals (eCommerce) - Mod,62613GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689288,,
M019ga-e:2799170 - Wine Subscriptions - Exact,62614GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689297,,
D011ga-m:2799119 - Low Volume - Mod,62615GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689307,,
D003ga-e:2799103 - Wine Competition - Exact,62616GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689320,,
D002ga-e:2799101 - Brand - Winc - Exact,62617GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689323,,
D019ga-m:2799134 - Wine Subscriptions - Mod,62618GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689355,,
D0114ga:4994332 - Locations - Mod Broad,62619GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689357,,
D0128ga:5322545 - Low Alcohol Wine (eCommerce) - Mod,62620GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689363,,
D0083ga:4314941 - Popular Wine Bottles (eCommerce) - Mod,62621GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689369,,
D018ga-e:2799131 - Wine Online - Exact,62622GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689374,,
D0042ga:3950709 - Wine For Beginners - Exact,62623GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689406,,
D0036ga:3860475 - Shopping - High Value NB,62624GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689411,,
D0017ga:3505998 - Wine (eCommerce) - Exact,62625GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689422,,
D0234ga:6081969 - Healthy Wine (eCommerce) - Exact,62626GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692705,,
D012ga-e:2799120 - Price Points - Exact,62627GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692707,,
D017ga-e:2799129 - Wine Delivery - Exact,62628GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692710,,
D015ga-e:2799125 - Wine Club Variations - Exact,62629GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692714,,
D0236ga:6081970 - Healthy Wine (eCommerce) - Mod,62631GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692716,,
D0039ga:3894218 - Buy Wine (eCommerce) - Exact,62632GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692718,,
D0131ga:5322562 - California Wine (eCommerce) - Exact,62633GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692722,,
D0085ga:4314970 - Wine Varietals (eCommerce) - Exact,62634GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692727,,
D0080ga:4314913 - Wine (eCommerce) - Mod,62635GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692728,,
D001ga-e:2799099 - Brand - Club W - Exact,62636GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692730,,
D0014ga:3490259 - Wine Case (eCommerce) - Mod,62637GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692734,,
D029ga-e:3901285 - Brand - Winc - Misspellings,62638GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692739,,
D0127ga:5322533 - Low Alcohol Wine (eCommerce) - Exact,62640GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,30,4/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692740,,
