 Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,Notes,URL (LM use)
D0226ga:6065819 - High Volume - Broad - Wine Club/Subscription,62601GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689223,,
D015ga-m:2799126 - Wine Club - Mod,62602GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689228,,
D016ga-m:2799128 - Wine Club Varietals - Mod,62603GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689231,,
D0055ga:4035917 - Wine Competition - Mod,62604GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689232,,
D0082ga:4314933 - Wine For Beginners - Mod,62605GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689235,,
D0084ga:4314951 - Wine Case (eCommerce) - Exact,62606GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689237,,
D010ga-e:2799116 - Locations - Exact,62607GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689244,,
D0019ga:3568515 - Popular Wine Bottles (eCommerce) - Exact,62608GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689249,,
D009ga-b:2799112 - High Volume - Broad,62609GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689258,,
D017ga-m:2799130 - Wine Delivery - Mod,62610GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689269,,
D002ga-m:2799102 - Brand - Winc - Mod,62611GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689274,,
D016ga-e:2799127 - Wine Club Varietals - Exact,62612GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689282,,
D0015ga:3490261 - Wine Varietals (eCommerce) - Mod,62613GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689288,,
M019ga-e:2799170 - Wine Subscriptions - Exact,62614GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689297,,
D011ga-m:2799119 - Low Volume - Mod,62615GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689307,,
D003ga-e:2799103 - Wine Competition - Exact,62616GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689320,,
D002ga-e:2799101 - Brand - Winc - Exact,62617GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689323,,
D019ga-m:2799134 - Wine Subscriptions - Mod,62618GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689355,,
D0114ga:4994332 - Locations - Mod Broad,62619GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689357,,
D0128ga:5322545 - Low Alcohol Wine (eCommerce) - Mod,62620GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689363,,
D0083ga:4314941 - Popular Wine Bottles (eCommerce) - Mod,62621GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689369,,
D018ga-e:2799131 - Wine Online - Exact,62622GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689374,,
D0042ga:3950709 - Wine For Beginners - Exact,62623GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689406,,
D0036ga:3860475 - Shopping - High Value NB,62624GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689411,,
D0017ga:3505998 - Wine (eCommerce) - Exact,62625GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6689422,,
D0234ga:6081969 - Healthy Wine (eCommerce) - Exact,62626GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692705,,
D012ga-e:2799120 - Price Points - Exact,62627GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692707,,
D017ga-e:2799129 - Wine Delivery - Exact,62628GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692710,,
D015ga-e:2799125 - Wine Club Variations - Exact,62629GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692714,,
D0236ga:6081970 - Healthy Wine (eCommerce) - Mod,62631GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692716,,
D0039ga:3894218 - Buy Wine (eCommerce) - Exact,62632GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692718,,
D0131ga:5322562 - California Wine (eCommerce) - Exact,62633GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692722,,
D0085ga:4314970 - Wine Varietals (eCommerce) - Exact,62634GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692727,,
D0080ga:4314913 - Wine (eCommerce) - Mod,62635GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692728,,
D001ga-e:2799099 - Brand - Club W - Exact,62636GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692730,,
D0014ga:3490259 - Wine Case (eCommerce) - Mod,62637GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692734,,
D029ga-e:3901285 - Brand - Winc - Misspellings,62638GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692739,,
D0127ga:5322533 - Low Alcohol Wine (eCommerce) - Exact,62640GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6692740,,
PaidSocial_May2021_Placeholder 1,00670FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730170,,
PaidSocial_May2021_Placeholder 2,00671FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730173,,
PaidSocial_May2021_Placeholder 3,00672FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730174,,
PaidSocial_May2021_Placeholder 4,00673FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730175,,
PaidSocial_May2021_Placeholder 5,00674FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730177,,
PaidSocial_May2021_Placeholder 6,00675FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730179,,
PaidSocial_May2021_Placeholder 7,00676FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730183,,
PaidSocial_May2021_Placeholder 8,00677FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730188,,
PaidSocial_MemorialDay2022_Placeholder1,00678FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730191,,
PaidSocial_MemorialDay2022_Placeholder2,00679FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730192,Existing Top,
PaidSocial_MemorialDay2022_Placeholder3,00680FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730195,Static1,
PaidSocial_MemorialDay2022_Placeholder4,00681FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730198,Static2,
PaidSocial_MemorialDay2022_Placeholder5,00682FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730201,Static3,
PaidSocial_MemorialDay2022_Placeholder6,00683FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730202,,
PaidSearch_MemorialDay2022_Placeholder1,00684FB,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730204,https://www.winc.com/try/lp1dynamicdiscount?caid=6730204,
PaidSearch_MemorialDay2022_Placeholder2,00685FB,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730205,https://www.winc.com/try/lp1dynamicdiscount?caid=6730205,
PaidSocial_June2021_Placeholder 1,00756FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6759800,,
PaidSocial_June2021_Placeholder 2,00757FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6759803,,
PaidSocial_June2021_Placeholder 3,00758FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6759804,,
PaidSocial_June2021_Placeholder 4,00759FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6759805,,
PaidSocial_June2021_Placeholder 5,00760FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6759808,,
PaidSocial_June2021_Placeholder 6,00761FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6759809,,
PaidSocial_June2021_Placeholder 7,00762FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6759812,,
PaidSocial_June2021_Placeholder 8,00763FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,12/31/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6759814,,
PaidSocial_July2022_Placeholder 1,10764FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,6/28/2022,1/1/2023,Fourth of July Special! Get 4 Bottles for $24.95!,6782784,https://drink.winc.com/value-prop-lp/byo-pack-4th-of-july?caid=6782784,
PaidSocial_July2022_Placeholder 2,10765FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,6/28/2022,1/1/2023,Fourth of July Special! Get 4 Bottles for $24.95!,6782785,https://drink.winc.com/value-prop-lp/byo-pack-4th-of-july?caid=6782785,
PaidSocial_July2022_Placeholder 3,10766FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,6/28/2022,1/1/2023,Fourth of July Special! Get 4 Bottles for $24.95!,6782786,https://drink.winc.com/value-prop-lp/byo-pack-4th-of-july?caid=6782786,
PaidSearch_July2022_Placeholder 1,62641GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,24.95,24.95,39,6/28/2022,1/1/2023,Fourth of July Special! Get 4 Bottles for $24.95!,6782790,https://drink.winc.com/value-prop-lp/byo-pack-4th-of-july?caid=6782784,
PaidSearch_July2022_Placeholder 2,62642GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,6/28/2022,1/1/2023,Fourth of July Special! Get 4 Bottles for $24.95!,6782792,https://drink.winc.com/value-prop-lp/byo-pack-4th-of-july?caid=6782784,
Paid Search_August_LDW,62643GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,24.95,24.95,39,8/20/2022,1/1/2023,Labor Day Weekend Special! Get 4 Bottles for $24.95!,6803017,,
Paid Search_August_LDW1,62644GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,8/20/2022,1/1/2023,Labor Day Weekend Special! Get 4 Bottles for $24.95!,6803021,,
Paid Search_August_LDW2,62645GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,8/20/2022,1/1/2023,Labor Day Weekend Special! Get 4 Bottles for $24.95!,6803024,,
Paid Social_August_LDW,10767FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,8/20/2022,1/1/2023,Labor Day Weekend Special! Get 4 Bottles for $24.95!,6803027,,
Paid Social_August_LDW1,10768FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,8/20/2022,1/1/2023,Labor Day Weekend Special! Get 4 Bottles for $24.95!,6803030,,
Paid Social_Sept_Promo Test 1,10769FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,9/30/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6823835,,
Paid Social_Sept_Promo Test 2,10770FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,1/1/2023,,New member offer! Get 4 bottles for $7.50 each + shipping's on us.,6823838,,
Paid Social_EarlyBlackFridaySpecial,10771FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for $24.95 + shipping's on us!,6878541,JL,
Paid Social_BFCM,10772FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,22.95,22.95,41,11/24/2022,11/1/2023,Black Friday Weekend Special! Get 4 bottles for $22.95 + shipping's on us!,6879345,LS,
Paid Social_WinterBlowOut,10773FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,12/12/2022,12/17/2022,Winter Blow Out! Get 4 bottles for $24.95 + shipping's on us!,6879351,KP,
Paid Social_OOOSpecial,10774FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,12/26/2022,12/31/2022,Out of Office Special! Get 4 bottles for $24.95 + shipping's on us!,6879359,LS,
Paid Social_NewYearsDay,10775FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,20.23,20.23,43.72,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for $20.23 + shipping's on us!,6879365,LS,
Paid Social_NewYearNewMe,10776FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,"New Year, New Me! Get 4 bottles of no-sugar wine for $28.95 + shipping's on us!",6879371,LS,
Paid Social_Holiday22Placeholder,10777FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,11/1/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879375,LS,
Paid Social_Holiday22Placeholder_1,10778FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,11/1/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879378,LS,
Paid Social_Holiday22Placeholder_2,10779FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,11/1/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879382,LS,
